# copied from https://lpdaac.usgs.gov/lpdaac/products/modis_products_table (16. August 2011);;;;;
"Shortname";"Platform";"MODIS_Product";"Raster_Type";"Resolution";"Temporal_Granularity"
"MYD14A1";"Aqua";"Thermal Anomalies & Fire";"Tile";"1000m";"Daily"
"MOD14A2";"Terra";"Thermal Anomalies & Fire";"Tile";"1000m";"8 Day"
"MYD14A2";"Aqua";"Thermal Anomalies & Fire ";"Tile";"1000m";"8 Day"
"MCD15A2";"Combined";"Leaf Area Index - FPAR";"Tile";"1000m";"8 Day"
"MOD15A2";"Terra";"Leaf Area Index - FPAR";"Tile";"1000m";"8 Day"
"MYD15A2";"Aqua";"Leaf Area Index - FPAR";"Tile";"1000m";"8 Day"
"MCD15A3";"Combined";"Leaf Area Index - FPAR";"Tile";"1000m";"4 Day"
"MOD17A2";"Terra";"Gross Primary Productivity";"Tile";"1000m";"8 Day"
"MYD17A2";"Aqua";"Gross Primary Productivity";"Tile";"1000m";"8 Day"
"MCD43A3";"Combined";"Albedo";"Tile";"500m";"16 Day"
"MCD43B3";"Combined";"Albedo";"Tile";"1000m";"16 Day"
"MCD43C3";"Combined";"Albedo";"CMG";"5600m";"16 Day"
"MCD43A1";"Combined";"BRDF-Albedo Model Parameters";"Tile";"500m";"16 Day"
"MCD43B1";"Combined";"BRDF-Albedo Model Parameters";"Tile";"1000m";"16 Day"
"MCD43C1";"Combined";"BRDF-Albedo Model Parameters";"CMG";"5600m";"16 Day"
"MCD43A2";"Combined";"BRDF-Albedo Quality";"Tile";"500m";"16 Day"
"MCD43B2";"Combined";"BRDF-Albedo Quality";"Tile";"1000m";"16 Day"
"MCD43C2";"Combined";"BRDF-Albedo Snow-free Quality";"CMG";"5600m";"16 Day"
"MCD43A4";"Combined";"Nadir BRDF-Adjusted Reflectance";"Tile";"500m";"16 Day"
"MCD43B4";"Combined";"Nadir BRDF-Adjusted Reflectance";"Tile";"1000m";"16 Day "
"MCD43C4";"Combined";"Nadir BRDF-Adjusted Reflectance";"CMG";"5600m";"16 Day"
"MOD12Q1";"Terra";"Land Cover Type";"Tile";"1000m";"Yearly"
"MCD12Q1";"Combined";"Land Cover Type";"Tile";"500m";"Yearly"
"MOD12Q2";"Terra";"Land Cover Dynamics";"Tile";"1000 m";"Yearly"
"MCD12Q2";"Combined";"Land Cover Dynamics";"Tile";"500 m";"Yearly"
"MOD12C1";"Terra";"Land Cover Type";"CMG";"5600m";"Yearly"
"MCD12C1";"Combined";"Land Cover Type";"CMG";"5600m";"Yearly"
"MOD44B";"Terra";"Vegetation Continuous Fields";"Tile";"500m";"Yearly"
